episode_id,source_citation,source_url,year_window,geography,region,age_band,skill_tier,sector,prior_income_band,subsidy_level,ubi_level,population_n,time_horizon,outcome_retrain_%,outcome_share_similar_%,outcome_underemployed_%,outcome_exit_%,outcome_still_seeking_%,data_quality,notes,comparability_notes
redcar_2015,DWP SSI JSA Statistics March 2016,https://assets.publishing.service.gov.uk/media/5a757a2ae5274a1622e22197/sahaviriya-steel-ind-ad-hoc-jsa-stats.pdf,2015-2016,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£11k-£15k employer hiring subsidy age-tiered,N/A,2070,reference Oct 2015,,,,,,HIGH,"POPULATION BASE. All 2070 employed by SSI made redundant on 2 Oct 2015. List from Insolvency Service — high accuracy. All DWP figures rounded to nearest 10. Supply chain excluded due to incomplete records. Use 2070 as the correct denominator for all Redcar rates.","Other sources cite 2200 or 2150 — these include supply chain estimates or all-benefit claimants. Do not mix denominators across rows."
redcar_2015,DWP SSI JSA Statistics March 2016,https://assets.publishing.service.gov.uk/media/5a757a2ae5274a1622e22197/sahaviriya-steel-ind-ad-hoc-jsa-stats.pdf,2015-2016,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£11k-£15k employer hiring subsidy age-tiered,N/A,2070,5 months Feb 2016,,,,, 25,MEDIUM,"540 of 2070 (25%) still claiming JSA at end of Feb 2016. JSA requires active job search — captures workers not yet employed and not on other benefits. 65% (1350) claimed JSA at least once; of those 40% still on it at 5 months. Remaining 60% (810) ended JSA claim but DWP warns this does NOT mean re-employed — could be ESA / Universal Credit / Income Support / retirement / left UK.","JSA-only measure. Workers who moved to ESA or UC appear as exited JSA but are not re-employed. Cannot compare directly to German or US studies using different benefit systems."
redcar_2015,DWP SSI JSA Statistics March 2016,https://assets.publishing.service.gov.uk/media/5a757a2ae5274a1622e22197/sahaviriya-steel-ind-ad-hoc-jsa-stats.pdf,2015-2016,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£11k-£15k employer hiring subsidy age-tiered,N/A,2070,5 months Feb 2016,,,,,35,MEDIUM,"720 workers (35%) made no JSA claim at all. DWP lists possible reasons: on other benefits (ESA/UC/Income Support); dependent on partner claim; chose to retire; temporarily re-employed by official receiver; left UK. Cannot be read as immediately re-employed. Task Force figure of 500+ claimed NO benefit at all — gap of ~220 likely on ESA or UC.","Not claiming JSA is not the same as employed. Critical distinction when comparing to Hartz or China shock literature which use different administrative definitions."
redcar_2015,SSI Task Force One Year On Report Sept 2016,https://teesvalley-ca.gov.uk/news/ssi-task-force-publishes-one-year-report/,2015-2016,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£46m total government package,N/A,2150,12 months Sept 2016,,,,7,,HIGH,"1990 of 2150 (93%) ended ALL benefit claims by 12 months. Task Force base of 2150 is larger than DWP 2070 because it covers ALL benefits not just JSA. ~160 workers (7%) still on benefits at 12 months — hard-to-place group likely older or health-affected. The 93% exit rate CANNOT be split into the 4 model buckets — retrain / similar / underemployed / exit are all lumped under exited benefits. This is the key data gap for Redcar.","Most-cited Redcar statistic but least useful for calibration — conflates all positive outcomes. Without DWP microdata (restricted access) there is no clean split into the 4 outcome buckets from public sources."
redcar_2015,SSI Task Force One Year On Report Sept 2016,https://teesvalley-ca.gov.uk/news/ssi-task-force-publishes-one-year-report/,2015-2016,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£46m total government package,N/A,2070,immediate,,,,24,,LOW,"500+ workers (24% of 2070) made no benefit claim of any kind — likely split between early retirees (EXIT) and immediately re-employed workers. Cannot distinguish without further data. Compare to DWP figure of 720 who did not claim JSA — gap of ~220 likely on ESA or UC but not JSA.","Early retirement and immediate re-employment look identical in this data. Steel sector has strong pensions so early retirement may be more common than in other sectors."
redcar_2015,SSI Task Force One Year On + Gov.uk 6-month press release,https://teesvalley-ca.gov.uk/news/ssi-task-force-publishes-one-year-report/,2015-2016,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£46m total government package,N/A,2070,12 months,UNKNOWN — see notes,,,,,MEDIUM,"NO CLEAN RETRAIN RATE AVAILABLE. 15510 training courses approved at 12 months; 4300 delivered by 6 months; 12000 applications across all schemes. These are course counts not worker counts — one worker may have taken multiple courses. 2988 workers received job advice (near-universal takeup given base of 2070). 50 former apprentices placed in training or employment — denominator unknown.","UK training course ranges from a 2-day refresher to a full vocational qualification. German Umschulung in Hartz literature = full requalification of 1-2 years. Not directly comparable without knowing course type and duration."
redcar_2015,SSI Task Force One Year On Report Sept 2016,https://teesvalley-ca.gov.uk/news/ssi-task-force-publishes-one-year-report/,2015-2016,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£46m total government package,N/A,2070,12 months,,8,,,, MEDIUM,"SELF-EMPLOYMENT — not in model outcome set. 172 new businesses launched (8% of 2070); 418 received startup advice (20%). 821 new jobs created via SSI Fund; 410 safeguarded. Job creation counts are policy outputs not worker outcomes. Union reps confirmed workers in new jobs face lower pay — consistent with underemployment.","Self-employment may be elevated in geographically isolated communities where re-employment options are scarce. Flag when comparing to Port Talbot or China shock data."
redcar_2015,Teesside Live — SSI 10 Years On Sept 2025,https://www.gazettelive.co.uk/news/teesside-news/steelworks-10-years-on-politicians-32655713,2015-2017,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£53m total government package,N/A,2070,24 months,UNKNOWN — see notes,,,,,MEDIUM,"2-year figures: 315 new businesses (vs 172 at 12 months). £9m invested in 23000 training courses within 2 years — still course counts not worker counts so retrain rate still cannot be derived. Government funding cited as £53m here vs £46m (Task Force) / £50m (Teesside Live) / £80m (gov.uk). Discrepancy likely reflects tranched announcements. Use £46m as baseline.","Funding figure inconsistency (£46m / £50m / £53m / £80m) is a genuine data quality issue — document and flag. Take Task Force own reported £46m as most credible."
redcar_2015,North East Times Magazine — Routes to Work scheme,https://netimesmagazine.co.uk/business/ex-ssi-uk-workers-return-to-redcar-site-to-help-deliver-teesworks-transformation/,2015-2020,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£7.5m Routes to Work pilot,N/A,2800+ Tees Valley,post-2015 ongoing,,17,,,, MEDIUM,"Routes to Work pilot (£7.5m): engaged 2800+ people across broader Tees Valley; 488 helped back into employment (17% of those engaged). Covers all Tees Valley long-term unemployed — NOT exclusively SSI workers. Two SSI worker case studies: (1) Ray Milner went Aberdeen bypass 2yr then Hinkley Point 2yr then Balfour Beatty then back to Redcar = SEEK_SIMILAR mobile trajectory. (2) Paul had unemployment with health challenges before Routes to Work = EXIT then re-entry.","Routes to Work is a regional scheme not SSI-specific. Cannot use 17% as a Redcar-specific re-employment rate."
redcar_2015,Multiple press sources BBC / History Workshop / Local reporting,https://www.historyworkshop.org.uk/activism-solidarity/scenarios-of-uncertainty-in-britains-steel-communities/,2015-2017,Redcar / Teesside,North East England,all,skilled_manual,primary_metals / steel_manufacturing,£25k-£35k est.,£46m government package,N/A,2070,immediate Oct-Nov 2015,,,,,40 area-level surge at closure,LOW,"40% surge in area-wide JSA claimants immediately post-closure. Area-level — includes non-SSI workers but SSI was dominant cause. Consistent with DWP data showing claimant count rising 6% to 7% of working-age population. At least 160 former SSI staff remained unemployed at 12-month review per press summary of Task Force report.","Area-level claimant surge is not directly comparable to individual worker outcomes. Use DWP individual-worker data (25% still on JSA at 5 months) as the primary measure."
