period,geography,variable,value
Jan 2014-Dec 2014,North East,Unemployment rate - aged 16-24,20.8
Jan 2014-Dec 2014,North East,Unemployment rate - aged 25-49,6.6
Jan 2014-Dec 2014,North East,Unemployment rate - aged 50+,5.6
Jan 2014-Dec 2014,North East,Employment rate - aged 16-24,49.9
Jan 2014-Dec 2014,North East,Employment rate - aged 25-49,79.5
Jan 2014-Dec 2014,North East,Employment rate - aged 50+,35.3
Apr 2014-Mar 2015,North East,Unemployment rate - aged 16-24,20.4
Apr 2014-Mar 2015,North East,Unemployment rate - aged 25-49,6.1
Apr 2014-Mar 2015,North East,Unemployment rate - aged 50+,4.8
Apr 2014-Mar 2015,North East,Employment rate - aged 16-24,50.6
Apr 2014-Mar 2015,North East,Employment rate - aged 25-49,79.7
Apr 2014-Mar 2015,North East,Employment rate - aged 50+,35.3
Jul 2014-Jun 2015,North East,Unemployment rate - aged 16-24,20.0
Jul 2014-Jun 2015,North East,Unemployment rate - aged 25-49,5.9
Jul 2014-Jun 2015,North East,Unemployment rate - aged 50+,4.0
Jul 2014-Jun 2015,North East,Employment rate - aged 16-24,50.9
Jul 2014-Jun 2015,North East,Employment rate - aged 25-49,79.3
Jul 2014-Jun 2015,North East,Employment rate - aged 50+,36.1
Oct 2014-Sep 2015,North East,Unemployment rate - aged 16-24,19.3
Oct 2014-Sep 2015,North East,Unemployment rate - aged 25-49,6.1
Oct 2014-Sep 2015,North East,Unemployment rate - aged 50+,4.2
Oct 2014-Sep 2015,North East,Employment rate - aged 16-24,51.5
Oct 2014-Sep 2015,North East,Employment rate - aged 25-49,79.3
Oct 2014-Sep 2015,North East,Employment rate - aged 50+,36.3
Jan 2015-Dec 2015,North East,Unemployment rate - aged 16-24,18.2
Jan 2015-Dec 2015,North East,Unemployment rate - aged 25-49,6.4
Jan 2015-Dec 2015,North East,Unemployment rate - aged 50+,4.5
Jan 2015-Dec 2015,North East,Employment rate - aged 16-24,52.3
Jan 2015-Dec 2015,North East,Employment rate - aged 25-49,79.3
Jan 2015-Dec 2015,North East,Employment rate - aged 50+,36.5
Apr 2015-Mar 2016,North East,Unemployment rate - aged 16-24,18.2
Apr 2015-Mar 2016,North East,Unemployment rate - aged 25-49,6.1
Apr 2015-Mar 2016,North East,Unemployment rate - aged 50+,4.5
Apr 2015-Mar 2016,North East,Employment rate - aged 16-24,52.1
