"DATE_NAME","GEOGRAPHY_NAME","VARIABLE_NAME","OBS_VALUE"
"Jan 2005-Dec 2005","North East","Economic activity rate - aged 16-64",73.1
"Jan 2005-Dec 2005","North East","Employment rate - aged 16-64",69.0
"Jan 2005-Dec 2005","North East","Unemployment rate - aged 16+",5.6
"Jan 2005-Dec 2005","North West","Economic activity rate - aged 16-64",74.5
"Jan 2005-Dec 2005","North West","Employment rate - aged 16-64",70.6
"Jan 2005-Dec 2005","North West","Unemployment rate - aged 16+",5.2
"Jan 2005-Dec 2005","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.9
"Jan 2005-Dec 2005","Yorkshire and The Humber","Employment rate - aged 16-64",72.3
"Jan 2005-Dec 2005","Yorkshire and The Humber","Unemployment rate - aged 16+",4.8
"Jan 2005-Dec 2005","East Midlands","Economic activity rate - aged 16-64",77.5
"Jan 2005-Dec 2005","East Midlands","Employment rate - aged 16-64",73.9
"Jan 2005-Dec 2005","East Midlands","Unemployment rate - aged 16+",4.7
"Jan 2005-Dec 2005","West Midlands","Economic activity rate - aged 16-64",75.5
"Jan 2005-Dec 2005","West Midlands","Employment rate - aged 16-64",71.6
"Jan 2005-Dec 2005","West Midlands","Unemployment rate - aged 16+",5.1
"Jan 2005-Dec 2005","East","Economic activity rate - aged 16-64",79.5
"Jan 2005-Dec 2005","East","Employment rate - aged 16-64",76.3
"Jan 2005-Dec 2005","East","Unemployment rate - aged 16+",4.0
"Jan 2005-Dec 2005","London","Economic activity rate - aged 16-64",73.4
"Jan 2005-Dec 2005","London","Employment rate - aged 16-64",68.0
"Jan 2005-Dec 2005","London","Unemployment rate - aged 16+",7.2
"Jan 2005-Dec 2005","South East","Economic activity rate - aged 16-64",80.4
"Jan 2005-Dec 2005","South East","Employment rate - aged 16-64",77.4
"Jan 2005-Dec 2005","South East","Unemployment rate - aged 16+",3.7
"Jan 2005-Dec 2005","South West","Economic activity rate - aged 16-64",78.4
"Jan 2005-Dec 2005","South West","Employment rate - aged 16-64",75.7
"Jan 2005-Dec 2005","South West","Unemployment rate - aged 16+",3.4
"Jan 2005-Dec 2005","Wales","Economic activity rate - aged 16-64",73.0
"Jan 2005-Dec 2005","Wales","Employment rate - aged 16-64",69.2
"Jan 2005-Dec 2005","Wales","Unemployment rate - aged 16+",5.1
"Jan 2005-Dec 2005","Scotland","Economic activity rate - aged 16-64",77.1
"Jan 2005-Dec 2005","Scotland","Employment rate - aged 16-64",73.0
"Jan 2005-Dec 2005","Scotland","Unemployment rate - aged 16+",5.3
"Apr 2005-Mar 2006","North East","Economic activity rate - aged 16-64",73.2
"Apr 2005-Mar 2006","North East","Employment rate - aged 16-64",68.7
"Apr 2005-Mar 2006","North East","Unemployment rate - aged 16+",6.1
"Apr 2005-Mar 2006","North West","Economic activity rate - aged 16-64",74.4
"Apr 2005-Mar 2006","North West","Employment rate - aged 16-64",70.6
"Apr 2005-Mar 2006","North West","Unemployment rate - aged 16+",5.0
"Apr 2005-Mar 2006","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.8
"Apr 2005-Mar 2006","Yorkshire and The Humber","Employment rate - aged 16-64",71.9
"Apr 2005-Mar 2006","Yorkshire and The Humber","Unemployment rate - aged 16+",5.1
"Apr 2005-Mar 2006","East Midlands","Economic activity rate - aged 16-64",78.2
"Apr 2005-Mar 2006","East Midlands","Employment rate - aged 16-64",74.5
"Apr 2005-Mar 2006","East Midlands","Unemployment rate - aged 16+",4.6
"Apr 2005-Mar 2006","West Midlands","Economic activity rate - aged 16-64",75.0
"Apr 2005-Mar 2006","West Midlands","Employment rate - aged 16-64",71.0
"Apr 2005-Mar 2006","West Midlands","Unemployment rate - aged 16+",5.2
"Apr 2005-Mar 2006","East","Economic activity rate - aged 16-64",79.1
"Apr 2005-Mar 2006","East","Employment rate - aged 16-64",75.9
"Apr 2005-Mar 2006","East","Unemployment rate - aged 16+",4.0
"Apr 2005-Mar 2006","London","Economic activity rate - aged 16-64",73.4
"Apr 2005-Mar 2006","London","Employment rate - aged 16-64",67.7
"Apr 2005-Mar 2006","London","Unemployment rate - aged 16+",7.7
"Apr 2005-Mar 2006","South East","Economic activity rate - aged 16-64",80.5
"Apr 2005-Mar 2006","South East","Employment rate - aged 16-64",77.3
"Apr 2005-Mar 2006","South East","Unemployment rate - aged 16+",3.9
"Apr 2005-Mar 2006","South West","Economic activity rate - aged 16-64",78.3
"Apr 2005-Mar 2006","South West","Employment rate - aged 16-64",75.6
"Apr 2005-Mar 2006","South West","Unemployment rate - aged 16+",3.4
"Apr 2005-Mar 2006","Wales","Economic activity rate - aged 16-64",72.8
"Apr 2005-Mar 2006","Wales","Employment rate - aged 16-64",69.1
"Apr 2005-Mar 2006","Wales","Unemployment rate - aged 16+",5.1
"Apr 2005-Mar 2006","Scotland","Economic activity rate - aged 16-64",77.1
"Apr 2005-Mar 2006","Scotland","Employment rate - aged 16-64",72.9
"Apr 2005-Mar 2006","Scotland","Unemployment rate - aged 16+",5.4
"Jul 2005-Jun 2006","North East","Economic activity rate - aged 16-64",73.4
"Jul 2005-Jun 2006","North East","Employment rate - aged 16-64",68.9
"Jul 2005-Jun 2006","North East","Unemployment rate - aged 16+",6.1
"Jul 2005-Jun 2006","North West","Economic activity rate - aged 16-64",74.4
"Jul 2005-Jun 2006","North West","Employment rate - aged 16-64",70.5
"Jul 2005-Jun 2006","North West","Unemployment rate - aged 16+",5.2
"Jul 2005-Jun 2006","Yorkshire and The Humber","Economic activity rate - aged 16-64",76.2
"Jul 2005-Jun 2006","Yorkshire and The Humber","Employment rate - aged 16-64",72.0
"Jul 2005-Jun 2006","Yorkshire and The Humber","Unemployment rate - aged 16+",5.4
"Jul 2005-Jun 2006","East Midlands","Economic activity rate - aged 16-64",78.3
"Jul 2005-Jun 2006","East Midlands","Employment rate - aged 16-64",74.4
"Jul 2005-Jun 2006","East Midlands","Unemployment rate - aged 16+",5.0
"Jul 2005-Jun 2006","West Midlands","Economic activity rate - aged 16-64",75.2
"Jul 2005-Jun 2006","West Midlands","Employment rate - aged 16-64",71.1
"Jul 2005-Jun 2006","West Midlands","Unemployment rate - aged 16+",5.4
"Jul 2005-Jun 2006","East","Economic activity rate - aged 16-64",79.2
"Jul 2005-Jun 2006","East","Employment rate - aged 16-64",75.6
"Jul 2005-Jun 2006","East","Unemployment rate - aged 16+",4.4
"Jul 2005-Jun 2006","London","Economic activity rate - aged 16-64",73.5
"Jul 2005-Jun 2006","London","Employment rate - aged 16-64",67.7
"Jul 2005-Jun 2006","London","Unemployment rate - aged 16+",7.8
"Jul 2005-Jun 2006","South East","Economic activity rate - aged 16-64",80.4
"Jul 2005-Jun 2006","South East","Employment rate - aged 16-64",77.0
"Jul 2005-Jun 2006","South East","Unemployment rate - aged 16+",4.3
"Jul 2005-Jun 2006","South West","Economic activity rate - aged 16-64",78.6
"Jul 2005-Jun 2006","South West","Employment rate - aged 16-64",75.7
"Jul 2005-Jun 2006","South West","Unemployment rate - aged 16+",3.7
"Jul 2005-Jun 2006","Wales","Economic activity rate - aged 16-64",73.1
"Jul 2005-Jun 2006","Wales","Employment rate - aged 16-64",69.2
"Jul 2005-Jun 2006","Wales","Unemployment rate - aged 16+",5.2
"Jul 2005-Jun 2006","Scotland","Economic activity rate - aged 16-64",77.3
"Jul 2005-Jun 2006","Scotland","Employment rate - aged 16-64",73.1
"Jul 2005-Jun 2006","Scotland","Unemployment rate - aged 16+",5.5
"Oct 2005-Sep 2006","North East","Economic activity rate - aged 16-64",73.7
"Oct 2005-Sep 2006","North East","Employment rate - aged 16-64",68.8
"Oct 2005-Sep 2006","North East","Unemployment rate - aged 16+",6.6
"Oct 2005-Sep 2006","North West","Economic activity rate - aged 16-64",74.6
"Oct 2005-Sep 2006","North West","Employment rate - aged 16-64",70.6
"Oct 2005-Sep 2006","North West","Unemployment rate - aged 16+",5.2
"Oct 2005-Sep 2006","Yorkshire and The Humber","Economic activity rate - aged 16-64",76.0
"Oct 2005-Sep 2006","Yorkshire and The Humber","Employment rate - aged 16-64",71.6
"Oct 2005-Sep 2006","Yorkshire and The Humber","Unemployment rate - aged 16+",5.7
"Oct 2005-Sep 2006","East Midlands","Economic activity rate - aged 16-64",78.3
"Oct 2005-Sep 2006","East Midlands","Employment rate - aged 16-64",74.3
"Oct 2005-Sep 2006","East Midlands","Unemployment rate - aged 16+",5.0
"Oct 2005-Sep 2006","West Midlands","Economic activity rate - aged 16-64",75.3
"Oct 2005-Sep 2006","West Midlands","Employment rate - aged 16-64",71.0
