"DATE_NAME","GEOGRAPHY_NAME","ITEM_NAME","OBS_VALUE"
"2008","North East","Median",421.7
"2008","North East","10 percentile",253.9
"2008","North East","25 percentile",311.2
"2008","North East","75 percentile",601.0
"2008","North East","90 percentile",797.6
"2008","North West","Median",451.3
"2008","North West","10 percentile",252.8
"2008","North West","25 percentile",323.0
"2008","North West","75 percentile",640.8
"2008","North West","90 percentile",861.9
"2008","Yorkshire and The Humber","Median",444.3
"2008","Yorkshire and The Humber","10 percentile",251.7
"2008","Yorkshire and The Humber","25 percentile",318.6
"2008","Yorkshire and The Humber","75 percentile",623.7
"2008","Yorkshire and The Humber","90 percentile",836.3
"2008","East Midlands","Median",450.2
"2008","East Midlands","10 percentile",253.6
"2008","East Midlands","25 percentile",324.0
"2008","East Midlands","75 percentile",635.0
"2008","East Midlands","90 percentile",857.4
"2008","West Midlands","Median",449.8
"2008","West Midlands","10 percentile",254.5
"2008","West Midlands","25 percentile",323.6
"2008","West Midlands","75 percentile",630.1
"2008","West Midlands","90 percentile",850.5
"2008","East","Median",499.0
"2008","East","10 percentile",269.9
"2008","East","25 percentile",350.4
"2008","East","75 percentile",716.5
"2008","East","90 percentile",1032.4
"2008","London","Median",581.5
"2008","London","10 percentile",307.0
"2008","London","25 percentile",416.7
"2008","London","75 percentile",821.7
"2008","London","90 percentile",1245.7
"2008","South East","Median",524.8
"2008","South East","10 percentile",279.9
"2008","South East","25 percentile",370.5
"2008","South East","75 percentile",765.5
"2008","South East","90 percentile",1116.8
"2008","South West","Median",451.9
"2008","South West","10 percentile",255.6
"2008","South West","25 percentile",325.8
"2008","South West","75 percentile",637.8
"2008","South West","90 percentile",864.2
"2008","Wales","Median",424.8
"2008","Wales","10 percentile",252.7
"2008","Wales","25 percentile",313.0
"2008","Wales","75 percentile",610.2
"2008","Wales","90 percentile",827.3
"2008","Scotland","Median",462.9
"2008","Scotland","10 percentile",259.0
"2008","Scotland","25 percentile",329.2
"2008","Scotland","75 percentile",644.3
"2008","Scotland","90 percentile",868.4
"2009","North East","Median",438.5
"2009","North East","10 percentile",258.0
"2009","North East","25 percentile",320.0
"2009","North East","75 percentile",622.1
"2009","North East","90 percentile",824.2
"2009","North West","Median",460.0
"2009","North West","10 percentile",263.1
"2009","North West","25 percentile",333.2
"2009","North West","75 percentile",655.6
"2009","North West","90 percentile",882.7
"2009","Yorkshire and The Humber","Median",452.6
"2009","Yorkshire and The Humber","10 percentile",260.0
"2009","Yorkshire and The Humber","25 percentile",327.4
"2009","Yorkshire and The Humber","75 percentile",632.9
"2009","Yorkshire and The Humber","90 percentile",865.4
"2009","East Midlands","Median",460.2
"2009","East Midlands","10 percentile",261.9
"2009","East Midlands","25 percentile",334.8
"2009","East Midlands","75 percentile",650.6
"2009","East Midlands","90 percentile",887.0
"2009","West Midlands","Median",456.8
"2009","West Midlands","10 percentile",262.8
"2009","West Midlands","25 percentile",329.4
"2009","West Midlands","75 percentile",638.7
"2009","West Midlands","90 percentile",879.0
"2009","East","Median",509.5
"2009","East","10 percentile",278.3
"2009","East","25 percentile",358.5
"2009","East","75 percentile",733.8
"2009","East","90 percentile",1041.7
"2009","London","Median",598.2
"2009","London","10 percentile",317.7
"2009","London","25 percentile",429.3
"2009","London","75 percentile",849.7
"2009","London","90 percentile",1265.3
"2009","South East","Median",536.6
"2009","South East","10 percentile",287.5
"2009","South East","25 percentile",379.8
"2009","South East","75 percentile",770.7
"2009","South East","90 percentile",1134.7
"2009","South West","Median",460.0
"2009","South West","10 percentile",267.2
"2009","South West","25 percentile",335.4
"2009","South West","75 percentile",650.0
"2009","South West","90 percentile",886.4
"2009","Wales","Median",444.6
"2009","Wales","10 percentile",256.9
"2009","Wales","25 percentile",320.3
"2009","Wales","75 percentile",627.2
"2009","Wales","90 percentile",834.8
"2009","Scotland","Median",471.2
