"DATE_NAME","GEOGRAPHY_NAME","INDUSTRY_NAME","OBS_VALUE"
"2015","North East","1 : Agriculture, forestry & fishing (A)",3500
"2015","North East","2 : Mining, quarrying & utilities (B,D and E)",13000
"2015","North East","3 : Manufacturing (C)",118000
"2015","North East","4 : Construction (F)",52000
"2015","North East","5 : Motor trades (Part G)",18000
"2015","North East","6 : Wholesale (Part G)",27000
"2015","North East","7 : Retail (Part G)",105000
"2015","North East","8 : Transport & storage (inc postal) (H)",44000
"2015","North East","9 : Accommodation & food services (I)",80000
"2015","North East","10 : Information & communication (J)",33000
"2015","North East","11 : Financial & insurance (K)",23000
"2015","North East","12 : Property (L)",16000
"2015","North East","13 : Professional, scientific & technical (M)",70000
"2015","North East","14 : Business administration & support services (N)",81000
"2015","North East","15 : Public administration & defence (O)",67000
"2015","North East","16 : Education (P)",100000
"2015","North East","17 : Health (Q)",168000
"2015","North East","18 : Arts, entertainment, recreation & other services (R,S,T and U)",45000
"2015","North West","1 : Agriculture, forestry & fishing (A)",15000
"2015","North West","2 : Mining, quarrying & utilities (B,D and E)",36000
"2015","North West","3 : Manufacturing (C)",305000
"2015","North West","4 : Construction (F)",139000
"2015","North West","5 : Motor trades (Part G)",45000
"2015","North West","6 : Wholesale (Part G)",133000
"2015","North West","7 : Retail (Part G)",336000
"2015","North West","8 : Transport & storage (inc postal) (H)",147000
"2015","North West","9 : Accommodation & food services (I)",234000
"2015","North West","10 : Information & communication (J)",104000
"2015","North West","11 : Financial & insurance (K)",83000
"2015","North West","12 : Property (L)",50000
"2015","North West","13 : Professional, scientific & technical (M)",229000
"2015","North West","14 : Business administration & support services (N)",282000
"2015","North West","15 : Public administration & defence (O)",146000
"2015","North West","16 : Education (P)",278000
"2015","North West","17 : Health (Q)",457000
"2015","North West","18 : Arts, entertainment, recreation & other services (R,S,T and U)",144000
"2015","Yorkshire and The Humber","1 : Agriculture, forestry & fishing (A)",12000
"2015","Yorkshire and The Humber","2 : Mining, quarrying & utilities (B,D and E)",27000
"2015","Yorkshire and The Humber","3 : Manufacturing (C)",266000
"2015","Yorkshire and The Humber","4 : Construction (F)",106000
"2015","Yorkshire and The Humber","5 : Motor trades (Part G)",42000
"2015","Yorkshire and The Humber","6 : Wholesale (Part G)",102000
"2015","Yorkshire and The Humber","7 : Retail (Part G)",215000
"2015","Yorkshire and The Humber","8 : Transport & storage (inc postal) (H)",115000
"2015","Yorkshire and The Humber","9 : Accommodation & food services (I)",154000
"2015","Yorkshire and The Humber","10 : Information & communication (J)",51000
"2015","Yorkshire and The Humber","11 : Financial & insurance (K)",79000
"2015","Yorkshire and The Humber","12 : Property (L)",30000
"2015","Yorkshire and The Humber","13 : Professional, scientific & technical (M)",151000
"2015","Yorkshire and The Humber","14 : Business administration & support services (N)",219000
"2015","Yorkshire and The Humber","15 : Public administration & defence (O)",106000
"2015","Yorkshire and The Humber","16 : Education (P)",236000
"2015","Yorkshire and The Humber","17 : Health (Q)",325000
"2015","Yorkshire and The Humber","18 : Arts, entertainment, recreation & other services (R,S,T and U)",93000
"2015","East Midlands","1 : Agriculture, forestry & fishing (A)",18000
"2015","East Midlands","2 : Mining, quarrying & utilities (B,D and E)",36000
"2015","East Midlands","3 : Manufacturing (C)",268000
"2015","East Midlands","4 : Construction (F)",101000
"2015","East Midlands","5 : Motor trades (Part G)",40000
"2015","East Midlands","6 : Wholesale (Part G)",90000
"2015","East Midlands","7 : Retail (Part G)",210000
"2015","East Midlands","8 : Transport & storage (inc postal) (H)",101000
"2015","East Midlands","9 : Accommodation & food services (I)",115000
"2015","East Midlands","10 : Information & communication (J)",44000
"2015","East Midlands","11 : Financial & insurance (K)",35000
"2015","East Midlands","12 : Property (L)",25000
"2015","East Midlands","13 : Professional, scientific & technical (M)",123000
"2015","East Midlands","14 : Business administration & support services (N)",209000
"2015","East Midlands","15 : Public administration & defence (O)",75000
"2015","East Midlands","16 : Education (P)",188000
"2015","East Midlands","17 : Health (Q)",252000
"2015","East Midlands","18 : Arts, entertainment, recreation & other services (R,S,T and U)",80000
"2015","West Midlands","1 : Agriculture, forestry & fishing (A)",23000
"2015","West Midlands","2 : Mining, quarrying & utilities (B,D and E)",31000
"2015","West Midlands","3 : Manufacturing (C)",296000
"2015","West Midlands","4 : Construction (F)",127000
"2015","West Midlands","5 : Motor trades (Part G)",55000
"2015","West Midlands","6 : Wholesale (Part G)",130000
"2015","West Midlands","7 : Retail (Part G)",226000
"2015","West Midlands","8 : Transport & storage (inc postal) (H)",145000
"2015","West Midlands","9 : Accommodation & food services (I)",154000
"2015","West Midlands","10 : Information & communication (J)",63000
"2015","West Midlands","11 : Financial & insurance (K)",63000
"2015","West Midlands","12 : Property (L)",36000
"2015","West Midlands","13 : Professional, scientific & technical (M)",162000
"2015","West Midlands","14 : Business administration & support services (N)",207000
"2015","West Midlands","15 : Public administration & defence (O)",97000
"2015","West Midlands","16 : Education (P)",230000
"2015","West Midlands","17 : Health (Q)",305000
"2015","West Midlands","18 : Arts, entertainment, recreation & other services (R,S,T and U)",113000
"2015","East","1 : Agriculture, forestry & fishing (A)",25000
"2015","East","2 : Mining, quarrying & utilities (B,D and E)",32000
"2015","East","3 : Manufacturing (C)",203000
"2015","East","4 : Construction (F)",156000
"2015","East","5 : Motor trades (Part G)",67000
"2015","East","6 : Wholesale (Part G)",119000
"2015","East","7 : Retail (Part G)",280000
"2015","East","8 : Transport & storage (inc postal) (H)",120000
"2015","East","9 : Accommodation & food services (I)",170000
"2015","East","10 : Information & communication (J)",102000
"2015","East","11 : Financial & insurance (K)",61000
