year,geography,industry,employee_jobs
2015,Redcar and Cleveland,"1 : Agriculture, forestry & fishing (A)",150
2015,Redcar and Cleveland,"2 : Mining, quarrying & utilities (B,D and E)",1500
2015,Redcar and Cleveland,3 : Manufacturing (C),5000
2015,Redcar and Cleveland,4 : Construction (F),2000
2015,Redcar and Cleveland,5 : Motor trades (Part G),700
2015,Redcar and Cleveland,6 : Wholesale (Part G),700
2015,Redcar and Cleveland,7 : Retail (Part G),5000
2015,Redcar and Cleveland,8 : Transport & storage (inc postal) (H),3500
2015,Redcar and Cleveland,9 : Accommodation & food services (I),3000
2015,Redcar and Cleveland,10 : Information & communication (J),350
2015,Redcar and Cleveland,11 : Financial & insurance (K),250
2015,Redcar and Cleveland,12 : Property (L),700
2015,Redcar and Cleveland,"13 : Professional, scientific & technical (M)",3500
2015,Redcar and Cleveland,14 : Business administration & support services (N),2250
2015,Redcar and Cleveland,15 : Public administration & defence (O),1500
2015,Redcar and Cleveland,16 : Education (P),4000
2015,Redcar and Cleveland,17 : Health (Q),6000
2015,Redcar and Cleveland,"18 : Arts, entertainment, recreation & other services (R,S,T and U)",1500
2015,Redcar and Cleveland,"1 : Agriculture, forestry & fishing (A)",150
2015,Redcar and Cleveland,"2 : Mining, quarrying & utilities (B,D and E)",1500
2015,Redcar and Cleveland,3 : Manufacturing (C),5000
2015,Redcar and Cleveland,4 : Construction (F),2000
2015,Redcar and Cleveland,5 : Motor trades (Part G),700
2015,Redcar and Cleveland,6 : Wholesale (Part G),700
2015,Redcar and Cleveland,7 : Retail (Part G),5000
2015,Redcar and Cleveland,8 : Transport & storage (inc postal) (H),3500
2015,Redcar and Cleveland,9 : Accommodation & food services (I),3000
2015,Redcar and Cleveland,10 : Information & communication (J),350
2015,Redcar and Cleveland,11 : Financial & insurance (K),250
2015,Redcar and Cleveland,12 : Property (L),700
2015,Redcar and Cleveland,"13 : Professional, scientific & technical (M)",3500
2015,Redcar and Cleveland,14 : Business administration & support services (N),2250
2015,Redcar and Cleveland,15 : Public administration & defence (O),1500
2015,Redcar and Cleveland,16 : Education (P),4000
2015,Redcar and Cleveland,17 : Health (Q),6000
2015,Redcar and Cleveland,"18 : Arts, entertainment, recreation & other services (R,S,T and U)",1500
2015,Redcar and Cleveland,"1 : Agriculture, forestry & fishing (A)",150
2015,Redcar and Cleveland,"2 : Mining, quarrying & utilities (B,D and E)",1500
2015,Redcar and Cleveland,3 : Manufacturing (C),5000
2015,Redcar and Cleveland,4 : Construction (F),2000
2015,Redcar and Cleveland,5 : Motor trades (Part G),700
2015,Redcar and Cleveland,6 : Wholesale (Part G),700
2015,Redcar and Cleveland,7 : Retail (Part G),5000
2015,Redcar and Cleveland,8 : Transport & storage (inc postal) (H),3500
2015,Redcar and Cleveland,9 : Accommodation & food services (I),3000
2015,Redcar and Cleveland,10 : Information & communication (J),350
2015,Redcar and Cleveland,11 : Financial & insurance (K),250
2015,Redcar and Cleveland,12 : Property (L),700
2015,Redcar and Cleveland,"13 : Professional, scientific & technical (M)",3500
2015,Redcar and Cleveland,14 : Business administration & support services (N),2250
2015,Redcar and Cleveland,15 : Public administration & defence (O),1500
2015,Redcar and Cleveland,16 : Education (P),4000
2015,Redcar and Cleveland,17 : Health (Q),6000
2015,Redcar and Cleveland,"18 : Arts, entertainment, recreation & other services (R,S,T and U)",1500
2016,Redcar and Cleveland,"1 : Agriculture, forestry & fishing (A)",150
2016,Redcar and Cleveland,"2 : Mining, quarrying & utilities (B,D and E)",1000
2016,Redcar and Cleveland,3 : Manufacturing (C),5000
2016,Redcar and Cleveland,4 : Construction (F),1250
2016,Redcar and Cleveland,5 : Motor trades (Part G),800
2016,Redcar and Cleveland,6 : Wholesale (Part G),800
2016,Redcar and Cleveland,7 : Retail (Part G),5000
2016,Redcar and Cleveland,8 : Transport & storage (inc postal) (H),3000
2016,Redcar and Cleveland,9 : Accommodation & food services (I),3000
2016,Redcar and Cleveland,10 : Information & communication (J),225
2016,Redcar and Cleveland,11 : Financial & insurance (K),225
2016,Redcar and Cleveland,12 : Property (L),700
2016,Redcar and Cleveland,"13 : Professional, scientific & technical (M)",2500
2016,Redcar and Cleveland,14 : Business administration & support services (N),2500
2016,Redcar and Cleveland,15 : Public administration & defence (O),1750
2016,Redcar and Cleveland,16 : Education (P),4000
2016,Redcar and Cleveland,17 : Health (Q),6000
2016,Redcar and Cleveland,"18 : Arts, entertainment, recreation & other services (R,S,T and U)",1750
2017,Redcar and Cleveland,"1 : Agriculture, forestry & fishing (A)",150
2017,Redcar and Cleveland,"2 : Mining, quarrying & utilities (B,D and E)",1250
2017,Redcar and Cleveland,3 : Manufacturing (C),4500
2017,Redcar and Cleveland,4 : Construction (F),1500
2017,Redcar and Cleveland,5 : Motor trades (Part G),450
2017,Redcar and Cleveland,6 : Wholesale (Part G),1000
2017,Redcar and Cleveland,7 : Retail (Part G),5000
2017,Redcar and Cleveland,8 : Transport & storage (inc postal) (H),3000
2017,Redcar and Cleveland,9 : Accommodation & food services (I),3500
2017,Redcar and Cleveland,10 : Information & communication (J),300
2017,Redcar and Cleveland,11 : Financial & insurance (K),225
2017,Redcar and Cleveland,12 : Property (L),700
2017,Redcar and Cleveland,"13 : Professional, scientific & technical (M)",2500
2017,Redcar and Cleveland,14 : Business administration & support services (N),2500
2017,Redcar and Cleveland,15 : Public administration & defence (O),1500
2017,Redcar and Cleveland,16 : Education (P),3500
2017,Redcar and Cleveland,17 : Health (Q),5000
2017,Redcar and Cleveland,"18 : Arts, entertainment, recreation & other services (R,S,T and U)",2000
2018,Redcar and Cleveland,"1 : Agriculture, forestry & fishing (A)",125
2018,Redcar and Cleveland,"2 : Mining, quarrying & utilities (B,D and E)",1000
2018,Redcar and Cleveland,3 : Manufacturing (C),5000
2018,Redcar and Cleveland,4 : Construction (F),1750
2018,Redcar and Cleveland,5 : Motor trades (Part G),600
2018,Redcar and Cleveland,6 : Wholesale (Part G),700
2018,Redcar and Cleveland,7 : Retail (Part G),5000
2018,Redcar and Cleveland,8 : Transport & storage (inc postal) (H),3500
2018,Redcar and Cleveland,9 : Accommodation & food services (I),2500
2018,Redcar and Cleveland,10 : Information & communication (J),500
2018,Redcar and Cleveland,11 : Financial & insurance (K),225
2018,Redcar and Cleveland,12 : Property (L),800
2018,Redcar and Cleveland,"13 : Professional, scientific & technical (M)",2000
2018,Redcar and Cleveland,14 : Business administration & support services (N),2000
2018,Redcar and Cleveland,15 : Public administration & defence (O),1750
2018,Redcar and Cleveland,16 : Education (P),3500
2018,Redcar and Cleveland,17 : Health (Q),5000
2018,Redcar and Cleveland,"18 : Arts, entertainment, recreation & other services (R,S,T and U)",1750
2019,Redcar and Cleveland,"1 : Agriculture, forestry & fishing (A)",125
2019,Redcar and Cleveland,"2 : Mining, quarrying & utilities (B,D and E)",1000
2019,Redcar and Cleveland,3 : Manufacturing (C),5000
2019,Redcar and Cleveland,4 : Construction (F),1500
2019,Redcar and Cleveland,5 : Motor trades (Part G),500
2019,Redcar and Cleveland,6 : Wholesale (Part G),600
2019,Redcar and Cleveland,7 : Retail (Part G),5000
2019,Redcar and Cleveland,8 : Transport & storage (inc postal) (H),3500
2019,Redcar and Cleveland,9 : Accommodation & food services (I),2500
2019,Redcar and Cleveland,10 : Information & communication (J),350
2019,Redcar and Cleveland,11 : Financial & insurance (K),175
2019,Redcar and Cleveland,12 : Property (L),800
2019,Redcar and Cleveland,"13 : Professional, scientific & technical (M)",3000
2019,Redcar and Cleveland,14 : Business administration & support services (N),1750
2019,Redcar and Cleveland,15 : Public administration & defence (O),1500
2019,Redcar and Cleveland,16 : Education (P),3500
2019,Redcar and Cleveland,17 : Health (Q),6000
2019,Redcar and Cleveland,"18 : Arts, entertainment, recreation & other services (R,S,T and U)",2000
