month,region,age_band,claimants
January 2005,North East,Age unknown (clerical claims),395
January 2005,North East,Aged 16-24,15745
January 2005,North East,Aged 25-49,23805
January 2005,North East,Aged 50+,8230
January 2005,North West,Age unknown (clerical claims),950
January 2005,North West,Aged 16-24,32800
January 2005,North West,Aged 25-49,52495
January 2005,North West,Aged 50+,14785
January 2005,Yorkshire and The Humber,Age unknown (clerical claims),690
January 2005,Yorkshire and The Humber,Aged 16-24,23540
January 2005,Yorkshire and The Humber,Aged 25-49,39100
January 2005,Yorkshire and The Humber,Aged 50+,12030
January 2005,East Midlands,Age unknown (clerical claims),330
January 2005,East Midlands,Aged 16-24,15510
January 2005,East Midlands,Aged 25-49,28145
January 2005,East Midlands,Aged 50+,9955
January 2005,West Midlands,Age unknown (clerical claims),1005
January 2005,West Midlands,Aged 16-24,26365
January 2005,West Midlands,Aged 25-49,47355
January 2005,West Midlands,Aged 50+,14665
January 2005,East,Age unknown (clerical claims),510
January 2005,East,Aged 16-24,16140
January 2005,East,Aged 25-49,30595
January 2005,East,Aged 50+,11100
January 2005,London,Age unknown (clerical claims),2010
January 2005,London,Aged 16-24,41230
January 2005,London,Aged 25-49,94220
January 2005,London,Aged 50+,22690
January 2005,South East,Age unknown (clerical claims),465
January 2005,South East,Aged 16-24,18495
January 2005,South East,Aged 25-49,39350
January 2005,South East,Aged 50+,14435
January 2005,South West,Age unknown (clerical claims),375
January 2005,South West,Aged 16-24,12835
January 2005,South West,Aged 25-49,23300
January 2005,South West,Aged 50+,8570
January 2005,Wales,Age unknown (clerical claims),310
January 2005,Wales,Aged 16-24,14710
January 2005,Wales,Aged 25-49,20885
January 2005,Wales,Aged 50+,6735
January 2005,Scotland,Age unknown (clerical claims),800
January 2005,Scotland,Aged 16-24,27920
January 2005,Scotland,Aged 25-49,50165
January 2005,Scotland,Aged 50+,16745
February 2005,North East,Age unknown (clerical claims),410
February 2005,North East,Aged 16-24,16370
February 2005,North East,Aged 25-49,23645
February 2005,North East,Aged 50+,8025
February 2005,North West,Age unknown (clerical claims),1035
February 2005,North West,Aged 16-24,34480
February 2005,North West,Aged 25-49,52815
February 2005,North West,Aged 50+,14640
February 2005,Yorkshire and The Humber,Age unknown (clerical claims),695
February 2005,Yorkshire and The Humber,Aged 16-24,24855
February 2005,Yorkshire and The Humber,Aged 25-49,39230
February 2005,Yorkshire and The Humber,Aged 50+,12045
February 2005,East Midlands,Age unknown (clerical claims),280
February 2005,East Midlands,Aged 16-24,16420
February 2005,East Midlands,Aged 25-49,28390
February 2005,East Midlands,Aged 50+,9820
February 2005,West Midlands,Age unknown (clerical claims),865
February 2005,West Midlands,Aged 16-24,27175
February 2005,West Midlands,Aged 25-49,47050
February 2005,West Midlands,Aged 50+,14270
February 2005,East,Age unknown (clerical claims),515
February 2005,East,Aged 16-24,17495
February 2005,East,Aged 25-49,31245
February 2005,East,Aged 50+,11250
February 2005,London,Age unknown (clerical claims),1910
February 2005,London,Aged 16-24,43070
February 2005,London,Aged 25-49,94925
February 2005,London,Aged 50+,22880
February 2005,South East,Age unknown (clerical claims),525
February 2005,South East,Aged 16-24,19725
February 2005,South East,Aged 25-49,39540
February 2005,South East,Aged 50+,14215
February 2005,South West,Age unknown (clerical claims),355
February 2005,South West,Aged 16-24,13890
February 2005,South West,Aged 25-49,23455
February 2005,South West,Aged 50+,8655
February 2005,Wales,Age unknown (clerical claims),285
February 2005,Wales,Aged 16-24,15230
February 2005,Wales,Aged 25-49,20970
February 2005,Wales,Aged 50+,6635
February 2005,Scotland,Age unknown (clerical claims),735
February 2005,Scotland,Aged 16-24,29355
February 2005,Scotland,Aged 25-49,49645
February 2005,Scotland,Aged 50+,16375
March 2005,North East,Age unknown (clerical claims),360
March 2005,North East,Aged 16-24,16265
March 2005,North East,Aged 25-49,23465
March 2005,North East,Aged 50+,8010
March 2005,North West,Age unknown (clerical claims),995
March 2005,North West,Aged 16-24,34795
March 2005,North West,Aged 25-49,52340
March 2005,North West,Aged 50+,14405
March 2005,Yorkshire and The Humber,Age unknown (clerical claims),675
March 2005,Yorkshire and The Humber,Aged 16-24,25190
March 2005,Yorkshire and The Humber,Aged 25-49,39575
March 2005,Yorkshire and The Humber,Aged 50+,12075
March 2005,East Midlands,Age unknown (clerical claims),285
March 2005,East Midlands,Aged 16-24,16835
March 2005,East Midlands,Aged 25-49,28650
March 2005,East Midlands,Aged 50+,9940
March 2005,West Midlands,Age unknown (clerical claims),770
March 2005,West Midlands,Aged 16-24,27215
March 2005,West Midlands,Aged 25-49,47010
March 2005,West Midlands,Aged 50+,14075
March 2005,East,Age unknown (clerical claims),495
