month,region,region_code,claimant_count
January 2005,North East,E12000001,48175
January 2005,North West,E12000002,101030
January 2005,Yorkshire and The Humber,E12000003,75360
January 2005,East Midlands,E12000004,53935
January 2005,West Midlands,E12000005,89395
January 2005,East,E12000006,58350
January 2005,London,E12000007,160155
January 2005,South East,E12000008,72745
January 2005,South West,E12000009,45085
January 2005,Wales,W92000004,42645
January 2005,Scotland,S92000003,95625
February 2005,North East,E12000001,48455
February 2005,North West,E12000002,102970
February 2005,Yorkshire and The Humber,E12000003,76820
February 2005,East Midlands,E12000004,54915
February 2005,West Midlands,E12000005,89360
February 2005,East,E12000006,60510
February 2005,London,E12000007,162785
February 2005,South East,E12000008,74010
February 2005,South West,E12000009,46355
February 2005,Wales,W92000004,43120
February 2005,Scotland,S92000003,96110
March 2005,North East,E12000001,48100
March 2005,North West,E12000002,102530
March 2005,Yorkshire and The Humber,E12000003,77515
March 2005,East Midlands,E12000004,55705
March 2005,West Midlands,E12000005,89075
March 2005,East,E12000006,60705
March 2005,London,E12000007,164300
March 2005,South East,E12000008,74185
March 2005,South West,E12000009,45235
March 2005,Wales,W92000004,42220
March 2005,Scotland,S92000003,93575
April 2005,North East,E12000001,47120
April 2005,North West,E12000002,102335
April 2005,Yorkshire and The Humber,E12000003,76670
April 2005,East Midlands,E12000004,54280
April 2005,West Midlands,E12000005,90955
April 2005,East,E12000006,59005
April 2005,London,E12000007,164855
April 2005,South East,E12000008,72965
April 2005,South West,E12000009,43505
April 2005,Wales,W92000004,41065
April 2005,Scotland,S92000003,90410
May 2005,North East,E12000001,46070
May 2005,North West,E12000002,101505
May 2005,Yorkshire and The Humber,E12000003,75810
May 2005,East Midlands,E12000004,53955
May 2005,West Midlands,E12000005,96355
May 2005,East,E12000006,58405
May 2005,London,E12000007,164460
May 2005,South East,E12000008,71620
May 2005,South West,E12000009,42285
May 2005,Wales,W92000004,40595
May 2005,Scotland,S92000003,88490
June 2005,North East,E12000001,45130
June 2005,North West,E12000002,100595
June 2005,Yorkshire and The Humber,E12000003,74985
June 2005,East Midlands,E12000004,53645
June 2005,West Midlands,E12000005,95520
June 2005,East,E12000006,57850
June 2005,London,E12000007,163560
June 2005,South East,E12000008,70900
June 2005,South West,E12000009,40920
June 2005,Wales,W92000004,39845
June 2005,Scotland,S92000003,87045
July 2005,North East,E12000001,45630
July 2005,North West,E12000002,102845
July 2005,Yorkshire and The Humber,E12000003,76380
July 2005,East Midlands,E12000004,54515
July 2005,West Midlands,E12000005,97815
July 2005,East,E12000006,58465
July 2005,London,E12000007,163505
July 2005,South East,E12000008,71220
July 2005,South West,E12000009,41415
July 2005,Wales,W92000004,41155
July 2005,Scotland,S92000003,88480
August 2005,North East,E12000001,46275
August 2005,North West,E12000002,104570
August 2005,Yorkshire and The Humber,E12000003,77530
August 2005,East Midlands,E12000004,55195
August 2005,West Midlands,E12000005,98380
August 2005,East,E12000006,58585
August 2005,London,E12000007,165670
August 2005,South East,E12000008,71125
August 2005,South West,E12000009,41855
August 2005,Wales,W92000004,41885
August 2005,Scotland,S92000003,89395
September 2005,North East,E12000001,45655
September 2005,North West,E12000002,103490
September 2005,Yorkshire and The Humber,E12000003,77520
September 2005,East Midlands,E12000004,54760
September 2005,West Midlands,E12000005,98215
September 2005,East,E12000006,57890
September 2005,London,E12000007,166740
September 2005,South East,E12000008,71875
September 2005,South West,E12000009,41335
September 2005,Wales,W92000004,41175
September 2005,Scotland,S92000003,83780
October 2005,North East,E12000001,45455
October 2005,North West,E12000002,102190
October 2005,Yorkshire and The Humber,E12000003,77360
October 2005,East Midlands,E12000004,54520
October 2005,West Midlands,E12000005,96725
October 2005,East,E12000006,58250
October 2005,London,E12000007,166510
October 2005,South East,E12000008,71775
October 2005,South West,E12000009,41385
October 2005,Wales,W92000004,40880
October 2005,Scotland,S92000003,82050
November 2005,North East,E12000001,46170
November 2005,North West,E12000002,103070
November 2005,Yorkshire and The Humber,E12000003,79275
November 2005,East Midlands,E12000004,55730
November 2005,West Midlands,E12000005,97515
November 2005,East,E12000006,59125
November 2005,London,E12000007,165375
November 2005,South East,E12000008,73860
November 2005,South West,E12000009,42560
November 2005,Wales,W92000004,42310
November 2005,Scotland,S92000003,82825
December 2005,North East,E12000001,46885
December 2005,North West,E12000002,105935
December 2005,Yorkshire and The Humber,E12000003,82525
December 2005,East Midlands,E12000004,57380
December 2005,West Midlands,E12000005,99745
December 2005,East,E12000006,60200
December 2005,London,E12000007,166085
December 2005,South East,E12000008,76140
December 2005,South West,E12000009,43330
December 2005,Wales,W92000004,43665
December 2005,Scotland,S92000003,83625
January 2006,North East,E12000001,51085
January 2006,North West,E12000002,115045
January 2006,Yorkshire and The Humber,E12000003,88890
January 2006,East Midlands,E12000004,61485
January 2006,West Midlands,E12000005,106025
January 2006,East,E12000006,65120
January 2006,London,E12000007,169130
January 2006,South East,E12000008,82160
January 2006,South West,E12000009,47885
January 2006,Wales,W92000004,47185
January 2006,Scotland,S92000003,92590
February 2006,North East,E12000001,52575
February 2006,North West,E12000002,119565
February 2006,Yorkshire and The Humber,E12000003,91265
February 2006,East Midlands,E12000004,64110
February 2006,West Midlands,E12000005,108930
February 2006,East,E12000006,68370
February 2006,London,E12000007,171260
February 2006,South East,E12000008,85975
February 2006,South West,E12000009,50160
February 2006,Wales,W92000004,48295
February 2006,Scotland,S92000003,95190
March 2006,North East,E12000001,52390
March 2006,North West,E12000002,120180
March 2006,Yorkshire and The Humber,E12000003,92080
March 2006,East Midlands,E12000004,64860
March 2006,West Midlands,E12000005,110930
March 2006,East,E12000006,68915
March 2006,London,E12000007,170320
March 2006,South East,E12000008,87380
March 2006,South West,E12000009,50145
March 2006,Wales,W92000004,47925
March 2006,Scotland,S92000003,95360
April 2006,North East,E12000001,51830
April 2006,North West,E12000002,119960
April 2006,Yorkshire and The Humber,E12000003,90595
April 2006,East Midlands,E12000004,64555
April 2006,West Midlands,E12000005,112660
April 2006,East,E12000006,68350
April 2006,London,E12000007,170510
April 2006,South East,E12000008,84650
April 2006,South West,E12000009,50295
April 2006,Wales,W92000004,46920
April 2006,Scotland,S92000003,92660
May 2006,North East,E12000001,50900
May 2006,North West,E12000002,118000
May 2006,Yorkshire and The Humber,E12000003,89395
May 2006,East Midlands,E12000004,63285
May 2006,West Midlands,E12000005,110775
May 2006,East,E12000006,66830
May 2006,London,E12000007,169530
May 2006,South East,E12000008,84165
May 2006,South West,E12000009,49095
May 2006,Wales,W92000004,45240
May 2006,Scotland,S92000003,90830
June 2006,North East,E12000001,50145
June 2006,North West,E12000002,117110
June 2006,Yorkshire and The Humber,E12000003,87735
June 2006,East Midlands,E12000004,62310
June 2006,West Midlands,E12000005,109265
June 2006,East,E12000006,65615
June 2006,London,E12000007,168890
June 2006,South East,E12000008,82765
June 2006,South West,E12000009,48060
June 2006,Wales,W92000004,43485
June 2006,Scotland,S92000003,90090
July 2006,North East,E12000001,49825
July 2006,North West,E12000002,117795
July 2006,Yorkshire and The Humber,E12000003,88640
July 2006,East Midlands,E12000004,62720
July 2006,West Midlands,E12000005,110710
July 2006,East,E12000006,65415
July 2006,London,E12000007,169380
July 2006,South East,E12000008,83715
July 2006,South West,E12000009,48150
July 2006,Wales,W92000004,43735
July 2006,Scotland,S92000003,92105
August 2006,North East,E12000001,50180
August 2006,North West,E12000002,117330
August 2006,Yorkshire and The Humber,E12000003,89155
