month,geography,gender,age_band,claimants
January 2014,North East,Male,Age unknown (clerical claims),50
January 2014,North East,Male,Aged 16-24,14060
January 2014,North East,Male,Aged 25-49,27785
January 2014,North East,Male,Aged 50+,8405
January 2014,North East,Female,Age unknown (clerical claims),20
January 2014,North East,Female,Aged 16-24,6865
January 2014,North East,Female,Aged 25-49,13540
January 2014,North East,Female,Aged 50+,4585
February 2014,North East,Male,Age unknown (clerical claims),50
February 2014,North East,Male,Aged 16-24,13900
February 2014,North East,Male,Aged 25-49,26935
February 2014,North East,Male,Aged 50+,8185
February 2014,North East,Female,Age unknown (clerical claims),20
February 2014,North East,Female,Aged 16-24,6775
February 2014,North East,Female,Aged 25-49,13365
February 2014,North East,Female,Aged 50+,4575
March 2014,North East,Male,Age unknown (clerical claims),60
March 2014,North East,Male,Aged 16-24,13175
March 2014,North East,Male,Aged 25-49,25850
March 2014,North East,Male,Aged 50+,7815
March 2014,North East,Female,Age unknown (clerical claims),25
March 2014,North East,Female,Aged 16-24,6350
March 2014,North East,Female,Aged 25-49,12835
March 2014,North East,Female,Aged 50+,4395
April 2014,North East,Male,Age unknown (clerical claims),55
April 2014,North East,Male,Aged 16-24,12420
April 2014,North East,Male,Aged 25-49,24845
April 2014,North East,Male,Aged 50+,7715
April 2014,North East,Female,Age unknown (clerical claims),20
April 2014,North East,Female,Aged 16-24,5980
April 2014,North East,Female,Aged 25-49,12560
April 2014,North East,Female,Aged 50+,4395
May 2014,North East,Male,Age unknown (clerical claims),50
May 2014,North East,Male,Aged 16-24,11600
May 2014,North East,Male,Aged 25-49,23755
May 2014,North East,Male,Aged 50+,7455
May 2014,North East,Female,Age unknown (clerical claims),20
May 2014,North East,Female,Aged 16-24,5515
May 2014,North East,Female,Aged 25-49,12120
May 2014,North East,Female,Aged 50+,4195
June 2014,North East,Male,Age unknown (clerical claims),45
June 2014,North East,Male,Aged 16-24,10460
June 2014,North East,Male,Aged 25-49,22180
June 2014,North East,Male,Aged 50+,7060
June 2014,North East,Female,Age unknown (clerical claims),20
June 2014,North East,Female,Aged 16-24,5125
June 2014,North East,Female,Aged 25-49,11415
June 2014,North East,Female,Aged 50+,4010
July 2014,North East,Male,Age unknown (clerical claims),40
July 2014,North East,Male,Aged 16-24,10295
July 2014,North East,Male,Aged 25-49,21405
July 2014,North East,Male,Aged 50+,6875
July 2014,North East,Female,Age unknown (clerical claims),20
July 2014,North East,Female,Aged 16-24,5215
July 2014,North East,Female,Aged 25-49,11115
July 2014,North East,Female,Aged 50+,3915
August 2014,North East,Male,Age unknown (clerical claims),35
August 2014,North East,Male,Aged 16-24,10010
August 2014,North East,Male,Aged 25-49,20510
August 2014,North East,Male,Aged 50+,6655
August 2014,North East,Female,Age unknown (clerical claims),25
August 2014,North East,Female,Aged 16-24,5170
August 2014,North East,Female,Aged 25-49,10900
August 2014,North East,Female,Aged 50+,3960
September 2014,North East,Male,Age unknown (clerical claims),30
September 2014,North East,Male,Aged 16-24,10310
September 2014,North East,Male,Aged 25-49,19885
September 2014,North East,Male,Aged 50+,6480
September 2014,North East,Female,Age unknown (clerical claims),15
September 2014,North East,Female,Aged 16-24,5455
September 2014,North East,Female,Aged 25-49,10520
September 2014,North East,Female,Aged 50+,3795
October 2014,North East,Male,Age unknown (clerical claims),35
October 2014,North East,Male,Aged 16-24,10050
October 2014,North East,Male,Aged 25-49,19285
October 2014,North East,Male,Aged 50+,6480
October 2014,North East,Female,Age unknown (clerical claims),20
October 2014,North East,Female,Aged 16-24,5200
October 2014,North East,Female,Aged 25-49,9900
October 2014,North East,Female,Aged 50+,3640
November 2014,North East,Male,Age unknown (clerical claims),45
November 2014,North East,Male,Aged 16-24,9470
November 2014,North East,Male,Aged 25-49,18970
November 2014,North East,Male,Aged 50+,6415
November 2014,North East,Female,Age unknown (clerical claims),25
November 2014,North East,Female,Aged 16-24,4695
November 2014,North East,Female,Aged 25-49,9335
November 2014,North East,Female,Aged 50+,3490
December 2014,North East,Male,Age unknown (clerical claims),45
December 2014,North East,Male,Aged 16-24,8945
December 2014,North East,Male,Aged 25-49,18820
December 2014,North East,Male,Aged 50+,6380
December 2014,North East,Female,Age unknown (clerical claims),20
December 2014,North East,Female,Aged 16-24,4315
December 2014,North East,Female,Aged 25-49,8905
December 2014,North East,Female,Aged 50+,3375
January 2015,North East,Male,Age unknown (clerical claims),45
January 2015,North East,Male,Aged 16-24,9160
January 2015,North East,Male,Aged 25-49,19670
January 2015,North East,Male,Aged 50+,6720
January 2015,North East,Female,Age unknown (clerical claims),20
January 2015,North East,Female,Aged 16-24,4430
January 2015,North East,Female,Aged 25-49,9040
January 2015,North East,Female,Aged 50+,3420
February 2015,North East,Male,Age unknown (clerical claims),50
February 2015,North East,Male,Aged 16-24,9135
February 2015,North East,Male,Aged 25-49,19105
February 2015,North East,Male,Aged 50+,6530
February 2015,North East,Female,Age unknown (clerical claims),30
February 2015,North East,Female,Aged 16-24,4425
February 2015,North East,Female,Aged 25-49,8975
February 2015,North East,Female,Aged 50+,3345
March 2015,North East,Male,Age unknown (clerical claims),40
March 2015,North East,Male,Aged 16-24,8700
March 2015,North East,Male,Aged 25-49,18640
March 2015,North East,Male,Aged 50+,6490
March 2015,North East,Female,Age unknown (clerical claims),20
March 2015,North East,Female,Aged 16-24,4185
March 2015,North East,Female,Aged 25-49,8765
March 2015,North East,Female,Aged 50+,3340
April 2015,North East,Male,Age unknown (clerical claims),35
April 2015,North East,Male,Aged 16-24,8310
April 2015,North East,Male,Aged 25-49,18135
April 2015,North East,Male,Aged 50+,6475
April 2015,North East,Female,Age unknown (clerical claims),15
April 2015,North East,Female,Aged 16-24,3960
April 2015,North East,Female,Aged 25-49,8525
April 2015,North East,Female,Aged 50+,3335
May 2015,North East,Male,Age unknown (clerical claims),45
May 2015,North East,Male,Aged 16-24,7860
May 2015,North East,Male,Aged 25-49,17425
May 2015,North East,Male,Aged 50+,6390
May 2015,North East,Female,Age unknown (clerical claims),15
May 2015,North East,Female,Aged 16-24,3690
May 2015,North East,Female,Aged 25-49,8355
May 2015,North East,Female,Aged 50+,3300
June 2015,North East,Male,Age unknown (clerical claims),55
June 2015,North East,Male,Aged 16-24,7475
June 2015,North East,Male,Aged 25-49,16975
June 2015,North East,Male,Aged 50+,6295
June 2015,North East,Female,Age unknown (clerical claims),15
June 2015,North East,Female,Aged 16-24,3595
June 2015,North East,Female,Aged 25-49,8160
June 2015,North East,Female,Aged 50+,3245
July 2015,North East,Male,Age unknown (clerical claims),35
July 2015,North East,Male,Aged 16-24,7430
July 2015,North East,Male,Aged 25-49,16710
July 2015,North East,Male,Aged 50+,6220
July 2015,North East,Female,Age unknown (clerical claims),15
July 2015,North East,Female,Aged 16-24,3800
July 2015,North East,Female,Aged 25-49,8175
July 2015,North East,Female,Aged 50+,3235
August 2015,North East,Male,Age unknown (clerical claims),35
August 2015,North East,Male,Aged 16-24,7495
August 2015,North East,Male,Aged 25-49,16525
August 2015,North East,Male,Aged 50+,6245
August 2015,North East,Female,Age unknown (clerical claims),10
August 2015,North East,Female,Aged 16-24,3905
August 2015,North East,Female,Aged 25-49,8270
August 2015,North East,Female,Aged 50+,3365
September 2015,North East,Male,Age unknown (clerical claims),35
September 2015,North East,Male,Aged 16-24,7680
September 2015,North East,Male,Aged 25-49,16235
September 2015,North East,Male,Aged 50+,6065
September 2015,North East,Female,Age unknown (clerical claims),15
September 2015,North East,Female,Aged 16-24,4000
September 2015,North East,Female,Aged 25-49,8025
September 2015,North East,Female,Aged 50+,3305
October 2015,North East,Male,Age unknown (clerical claims),35
October 2015,North East,Male,Aged 16-24,7590
October 2015,North East,Male,Aged 25-49,16680
October 2015,North East,Male,Aged 50+,6565
October 2015,North East,Female,Age unknown (clerical claims),15
October 2015,North East,Female,Aged 16-24,3855
October 2015,North East,Female,Aged 25-49,7995
October 2015,North East,Female,Aged 50+,3355
November 2015,North East,Male,Age unknown (clerical claims),35
November 2015,North East,Male,Aged 16-24,7445
November 2015,North East,Male,Aged 25-49,17035
November 2015,North East,Male,Aged 50+,6985
November 2015,North East,Female,Age unknown (clerical claims),10
November 2015,North East,Female,Aged 16-24,3645
November 2015,North East,Female,Aged 25-49,7855
November 2015,North East,Female,Aged 50+,3375
December 2015,North East,Male,Age unknown (clerical claims),35
December 2015,North East,Male,Aged 16-24,7320
December 2015,North East,Male,Aged 25-49,17390
December 2015,North East,Male,Aged 50+,7255
December 2015,North East,Female,Age unknown (clerical claims),10
December 2015,North East,Female,Aged 16-24,3395
December 2015,North East,Female,Aged 25-49,7905
December 2015,North East,Female,Aged 50+,3415
January 2016,North East,Male,Age unknown (clerical claims),45
January 2016,North East,Male,Aged 16-24,7575
January 2016,North East,Male,Aged 25-49,18580
January 2016,North East,Male,Aged 50+,7820
January 2016,North East,Female,Age unknown (clerical claims),15
January 2016,North East,Female,Aged 16-24,3600
January 2016,North East,Female,Aged 25-49,8405
January 2016,North East,Female,Aged 50+,3640
February 2016,North East,Male,Age unknown (clerical claims),50
February 2016,North East,Male,Aged 16-24,8050
February 2016,North East,Male,Aged 25-49,18975
February 2016,North East,Male,Aged 50+,8075
February 2016,North East,Female,Age unknown (clerical claims),15
February 2016,North East,Female,Aged 16-24,3760
February 2016,North East,Female,Aged 25-49,8720
February 2016,North East,Female,Aged 50+,3835
March 2016,North East,Male,Age unknown (clerical claims),30
March 2016,North East,Male,Aged 16-24,8100
March 2016,North East,Male,Aged 25-49,18960
March 2016,North East,Male,Aged 50+,8210
March 2016,North East,Female,Age unknown (clerical claims),10
March 2016,North East,Female,Aged 16-24,3825
March 2016,North East,Female,Aged 25-49,8920
March 2016,North East,Female,Aged 50+,3925
April 2016,North East,Male,Age unknown (clerical claims),40
April 2016,North East,Male,Aged 16-24,7865
April 2016,North East,Male,Aged 25-49,18300
April 2016,North East,Male,Aged 50+,7985
April 2016,North East,Female,Age unknown (clerical claims),10
April 2016,North East,Female,Aged 16-24,3685
April 2016,North East,Female,Aged 25-49,8760
April 2016,North East,Female,Aged 50+,3925
May 2016,North East,Male,Age unknown (clerical claims),35
May 2016,North East,Male,Aged 16-24,7705
May 2016,North East,Male,Aged 25-49,17800
May 2016,North East,Male,Aged 50+,7785
May 2016,North East,Female,Age unknown (clerical claims),10
May 2016,North East,Female,Aged 16-24,3610
May 2016,North East,Female,Aged 25-49,8795
May 2016,North East,Female,Aged 50+,3985
June 2016,North East,Male,Age unknown (clerical claims),35
June 2016,North East,Male,Aged 16-24,7520
June 2016,North East,Male,Aged 25-49,17425
June 2016,North East,Male,Aged 50+,7685
June 2016,North East,Female,Age unknown (clerical claims),5
June 2016,North East,Female,Aged 16-24,3605
June 2016,North East,Female,Aged 25-49,8700
June 2016,North East,Female,Aged 50+,4060
July 2016,North East,Male,Age unknown (clerical claims),30
July 2016,North East,Male,Aged 16-24,7490
July 2016,North East,Male,Aged 25-49,17040
July 2016,North East,Male,Aged 50+,7520
