month,geography,geography_code,claimant_count
January 2014,Redcar and Cleveland,E06000003,4585
February 2014,Redcar and Cleveland,E06000003,4430
March 2014,Redcar and Cleveland,E06000003,4205
April 2014,Redcar and Cleveland,E06000003,4105
May 2014,Redcar and Cleveland,E06000003,3935
June 2014,Redcar and Cleveland,E06000003,3730
July 2014,Redcar and Cleveland,E06000003,3745
August 2014,Redcar and Cleveland,E06000003,3580
September 2014,Redcar and Cleveland,E06000003,3610
October 2014,Redcar and Cleveland,E06000003,3535
November 2014,Redcar and Cleveland,E06000003,3335
December 2014,Redcar and Cleveland,E06000003,3350
January 2015,Redcar and Cleveland,E06000003,3445
February 2015,Redcar and Cleveland,E06000003,3345
March 2015,Redcar and Cleveland,E06000003,3255
April 2015,Redcar and Cleveland,E06000003,3095
May 2015,Redcar and Cleveland,E06000003,2925
June 2015,Redcar and Cleveland,E06000003,2815
July 2015,Redcar and Cleveland,E06000003,2715
August 2015,Redcar and Cleveland,E06000003,2665
September 2015,Redcar and Cleveland,E06000003,2615
October 2015,Redcar and Cleveland,E06000003,3085
November 2015,Redcar and Cleveland,E06000003,3365
December 2015,Redcar and Cleveland,E06000003,3445
January 2016,Redcar and Cleveland,E06000003,3660
February 2016,Redcar and Cleveland,E06000003,3665
March 2016,Redcar and Cleveland,E06000003,3540
April 2016,Redcar and Cleveland,E06000003,3265
May 2016,Redcar and Cleveland,E06000003,3135
June 2016,Redcar and Cleveland,E06000003,3115
July 2016,Redcar and Cleveland,E06000003,3210
August 2016,Redcar and Cleveland,E06000003,3215
September 2016,Redcar and Cleveland,E06000003,3120
October 2016,Redcar and Cleveland,E06000003,3175
November 2016,Redcar and Cleveland,E06000003,3170
December 2016,Redcar and Cleveland,E06000003,3235
January 2017,Redcar and Cleveland,E06000003,3340
February 2017,Redcar and Cleveland,E06000003,3385
March 2017,Redcar and Cleveland,E06000003,3345
April 2017,Redcar and Cleveland,E06000003,3195
May 2017,Redcar and Cleveland,E06000003,3105
June 2017,Redcar and Cleveland,E06000003,3060
July 2017,Redcar and Cleveland,E06000003,3005
August 2017,Redcar and Cleveland,E06000003,2975
September 2017,Redcar and Cleveland,E06000003,2915
October 2017,Redcar and Cleveland,E06000003,2850
November 2017,Redcar and Cleveland,E06000003,2810
December 2017,Redcar and Cleveland,E06000003,2875
January 2018,Redcar and Cleveland,E06000003,2985
February 2018,Redcar and Cleveland,E06000003,3090
March 2018,Redcar and Cleveland,E06000003,3075
April 2018,Redcar and Cleveland,E06000003,3035
May 2018,Redcar and Cleveland,E06000003,2915
June 2018,Redcar and Cleveland,E06000003,2710
July 2018,Redcar and Cleveland,E06000003,2635
August 2018,Redcar and Cleveland,E06000003,2600
September 2018,Redcar and Cleveland,E06000003,2610
October 2018,Redcar and Cleveland,E06000003,2600
November 2018,Redcar and Cleveland,E06000003,2575
December 2018,Redcar and Cleveland,E06000003,2625
