month,geography,age_band,claimants
January 2014,Redcar and Cleveland,Age unknown (clerical claims),10
January 2014,Redcar and Cleveland,Aged 16-24,1295
January 2014,Redcar and Cleveland,Aged 25-49,2580
January 2014,Redcar and Cleveland,Aged 50+,700
February 2014,Redcar and Cleveland,Age unknown (clerical claims),10
February 2014,Redcar and Cleveland,Aged 16-24,1240
February 2014,Redcar and Cleveland,Aged 25-49,2495
February 2014,Redcar and Cleveland,Aged 50+,680
March 2014,Redcar and Cleveland,Age unknown (clerical claims),10
March 2014,Redcar and Cleveland,Aged 16-24,1155
March 2014,Redcar and Cleveland,Aged 25-49,2375
March 2014,Redcar and Cleveland,Aged 50+,665
April 2014,Redcar and Cleveland,Age unknown (clerical claims),10
April 2014,Redcar and Cleveland,Aged 16-24,1090
April 2014,Redcar and Cleveland,Aged 25-49,2335
April 2014,Redcar and Cleveland,Aged 50+,665
May 2014,Redcar and Cleveland,Age unknown (clerical claims),10
May 2014,Redcar and Cleveland,Aged 16-24,1030
May 2014,Redcar and Cleveland,Aged 25-49,2250
May 2014,Redcar and Cleveland,Aged 50+,645
June 2014,Redcar and Cleveland,Age unknown (clerical claims),10
June 2014,Redcar and Cleveland,Aged 16-24,1005
June 2014,Redcar and Cleveland,Aged 25-49,2105
June 2014,Redcar and Cleveland,Aged 50+,615
July 2014,Redcar and Cleveland,Age unknown (clerical claims),5
July 2014,Redcar and Cleveland,Aged 16-24,1005
July 2014,Redcar and Cleveland,Aged 25-49,2115
July 2014,Redcar and Cleveland,Aged 50+,620
August 2014,Redcar and Cleveland,Age unknown (clerical claims),5
August 2014,Redcar and Cleveland,Aged 16-24,975
August 2014,Redcar and Cleveland,Aged 25-49,2010
August 2014,Redcar and Cleveland,Aged 50+,590
September 2014,Redcar and Cleveland,Age unknown (clerical claims),5
September 2014,Redcar and Cleveland,Aged 16-24,1055
September 2014,Redcar and Cleveland,Aged 25-49,1950
September 2014,Redcar and Cleveland,Aged 50+,600
October 2014,Redcar and Cleveland,Age unknown (clerical claims),5
October 2014,Redcar and Cleveland,Aged 16-24,1045
October 2014,Redcar and Cleveland,Aged 25-49,1870
October 2014,Redcar and Cleveland,Aged 50+,610
November 2014,Redcar and Cleveland,Age unknown (clerical claims),5
November 2014,Redcar and Cleveland,Aged 16-24,960
November 2014,Redcar and Cleveland,Aged 25-49,1780
November 2014,Redcar and Cleveland,Aged 50+,585
December 2014,Redcar and Cleveland,Age unknown (clerical claims),5
December 2014,Redcar and Cleveland,Aged 16-24,955
December 2014,Redcar and Cleveland,Aged 25-49,1790
December 2014,Redcar and Cleveland,Aged 50+,600
January 2015,Redcar and Cleveland,Age unknown (clerical claims),10
January 2015,Redcar and Cleveland,Aged 16-24,950
January 2015,Redcar and Cleveland,Aged 25-49,1845
January 2015,Redcar and Cleveland,Aged 50+,635
February 2015,Redcar and Cleveland,Age unknown (clerical claims),10
February 2015,Redcar and Cleveland,Aged 16-24,935
February 2015,Redcar and Cleveland,Aged 25-49,1790
February 2015,Redcar and Cleveland,Aged 50+,615
March 2015,Redcar and Cleveland,Age unknown (clerical claims),15
March 2015,Redcar and Cleveland,Aged 16-24,905
March 2015,Redcar and Cleveland,Aged 25-49,1750
March 2015,Redcar and Cleveland,Aged 50+,585
April 2015,Redcar and Cleveland,Age unknown (clerical claims),10
April 2015,Redcar and Cleveland,Aged 16-24,840
April 2015,Redcar and Cleveland,Aged 25-49,1675
April 2015,Redcar and Cleveland,Aged 50+,575
May 2015,Redcar and Cleveland,Age unknown (clerical claims),10
May 2015,Redcar and Cleveland,Aged 16-24,745
May 2015,Redcar and Cleveland,Aged 25-49,1615
May 2015,Redcar and Cleveland,Aged 50+,555
June 2015,Redcar and Cleveland,Age unknown (clerical claims),10
June 2015,Redcar and Cleveland,Aged 16-24,690
June 2015,Redcar and Cleveland,Aged 25-49,1565
June 2015,Redcar and Cleveland,Aged 50+,545
July 2015,Redcar and Cleveland,Age unknown (clerical claims),5
July 2015,Redcar and Cleveland,Aged 16-24,670
July 2015,Redcar and Cleveland,Aged 25-49,1520
July 2015,Redcar and Cleveland,Aged 50+,520
August 2015,Redcar and Cleveland,Age unknown (clerical claims),5
August 2015,Redcar and Cleveland,Aged 16-24,685
August 2015,Redcar and Cleveland,Aged 25-49,1480
August 2015,Redcar and Cleveland,Aged 50+,500
September 2015,Redcar and Cleveland,Age unknown (clerical claims),10
September 2015,Redcar and Cleveland,Aged 16-24,705
September 2015,Redcar and Cleveland,Aged 25-49,1420
September 2015,Redcar and Cleveland,Aged 50+,480
October 2015,Redcar and Cleveland,Age unknown (clerical claims),10
October 2015,Redcar and Cleveland,Aged 16-24,725
October 2015,Redcar and Cleveland,Aged 25-49,1695
October 2015,Redcar and Cleveland,Aged 50+,660
November 2015,Redcar and Cleveland,Age unknown (clerical claims),5
November 2015,Redcar and Cleveland,Aged 16-24,710
November 2015,Redcar and Cleveland,Aged 25-49,1845
November 2015,Redcar and Cleveland,Aged 50+,805
December 2015,Redcar and Cleveland,Age unknown (clerical claims),10
December 2015,Redcar and Cleveland,Aged 16-24,720
December 2015,Redcar and Cleveland,Aged 25-49,1910
December 2015,Redcar and Cleveland,Aged 50+,805
January 2016,Redcar and Cleveland,Age unknown (clerical claims),10
January 2016,Redcar and Cleveland,Aged 16-24,780
January 2016,Redcar and Cleveland,Aged 25-49,1995
January 2016,Redcar and Cleveland,Aged 50+,870
February 2016,Redcar and Cleveland,Age unknown (clerical claims),15
February 2016,Redcar and Cleveland,Aged 16-24,780
February 2016,Redcar and Cleveland,Aged 25-49,1975
February 2016,Redcar and Cleveland,Aged 50+,895
March 2016,Redcar and Cleveland,Age unknown (clerical claims),5
March 2016,Redcar and Cleveland,Aged 16-24,765
March 2016,Redcar and Cleveland,Aged 25-49,1920
March 2016,Redcar and Cleveland,Aged 50+,850
April 2016,Redcar and Cleveland,Age unknown (clerical claims),5
April 2016,Redcar and Cleveland,Aged 16-24,715
April 2016,Redcar and Cleveland,Aged 25-49,1750
April 2016,Redcar and Cleveland,Aged 50+,790
May 2016,Redcar and Cleveland,Age unknown (clerical claims),5
May 2016,Redcar and Cleveland,Aged 16-24,685
May 2016,Redcar and Cleveland,Aged 25-49,1685
May 2016,Redcar and Cleveland,Aged 50+,755
June 2016,Redcar and Cleveland,Age unknown (clerical claims),5
June 2016,Redcar and Cleveland,Aged 16-24,670
June 2016,Redcar and Cleveland,Aged 25-49,1675
June 2016,Redcar and Cleveland,Aged 50+,765
July 2016,Redcar and Cleveland,Age unknown (clerical claims),5
July 2016,Redcar and Cleveland,Aged 16-24,695
July 2016,Redcar and Cleveland,Aged 25-49,1715
July 2016,Redcar and Cleveland,Aged 50+,795
August 2016,Redcar and Cleveland,Age unknown (clerical claims),10
