month,geography,geography_code,claimant_count
January 2014,Tees Valley,E47000006,23805
February 2014,Tees Valley,E47000006,23095
March 2014,Tees Valley,E47000006,22015
April 2014,Tees Valley,E47000006,21275
May 2014,Tees Valley,E47000006,20365
June 2014,Tees Valley,E47000006,19120
July 2014,Tees Valley,E47000006,18760
August 2014,Tees Valley,E47000006,18045
September 2014,Tees Valley,E47000006,17750
October 2014,Tees Valley,E47000006,17250
November 2014,Tees Valley,E47000006,16450
December 2014,Tees Valley,E47000006,16180
January 2015,Tees Valley,E47000006,16525
February 2015,Tees Valley,E47000006,16000
March 2015,Tees Valley,E47000006,15360
April 2015,Tees Valley,E47000006,14805
May 2015,Tees Valley,E47000006,14355
June 2015,Tees Valley,E47000006,14100
July 2015,Tees Valley,E47000006,14015
August 2015,Tees Valley,E47000006,13905
September 2015,Tees Valley,E47000006,13790
October 2015,Tees Valley,E47000006,14745
November 2015,Tees Valley,E47000006,15415
December 2015,Tees Valley,E47000006,15715
January 2016,Tees Valley,E47000006,16710
February 2016,Tees Valley,E47000006,16930
March 2016,Tees Valley,E47000006,16870
April 2016,Tees Valley,E47000006,16530
May 2016,Tees Valley,E47000006,16230
June 2016,Tees Valley,E47000006,15915
July 2016,Tees Valley,E47000006,15750
August 2016,Tees Valley,E47000006,15860
September 2016,Tees Valley,E47000006,15820
October 2016,Tees Valley,E47000006,16100
November 2016,Tees Valley,E47000006,16125
December 2016,Tees Valley,E47000006,16245
January 2017,Tees Valley,E47000006,16665
February 2017,Tees Valley,E47000006,16930
March 2017,Tees Valley,E47000006,17100
April 2017,Tees Valley,E47000006,17115
May 2017,Tees Valley,E47000006,16780
June 2017,Tees Valley,E47000006,16675
July 2017,Tees Valley,E47000006,16565
August 2017,Tees Valley,E47000006,16625
September 2017,Tees Valley,E47000006,16595
October 2017,Tees Valley,E47000006,16515
November 2017,Tees Valley,E47000006,16520
December 2017,Tees Valley,E47000006,16695
January 2018,Tees Valley,E47000006,17215
February 2018,Tees Valley,E47000006,17730
March 2018,Tees Valley,E47000006,17780
April 2018,Tees Valley,E47000006,17810
May 2018,Tees Valley,E47000006,17170
June 2018,Tees Valley,E47000006,16615
July 2018,Tees Valley,E47000006,16230
August 2018,Tees Valley,E47000006,16400
September 2018,Tees Valley,E47000006,16605
October 2018,Tees Valley,E47000006,16780
November 2018,Tees Valley,E47000006,16950
December 2018,Tees Valley,E47000006,17495
January 2019,Tees Valley,E47000006,18455
February 2019,Tees Valley,E47000006,19085
March 2019,Tees Valley,E47000006,19550
April 2019,Tees Valley,E47000006,19535
May 2019,Tees Valley,E47000006,19640
June 2019,Tees Valley,E47000006,19765
July 2019,Tees Valley,E47000006,19875
August 2019,Tees Valley,E47000006,19960
September 2019,Tees Valley,E47000006,19480
October 2019,Tees Valley,E47000006,19760
November 2019,Tees Valley,E47000006,19975
December 2019,Tees Valley,E47000006,20210
