"DATE_NAME","GEOGRAPHY_NAME","C_AGE_NAME","OBS_VALUE"
"2025","North East","Age 18",32440
"2025","North East","Age 19",37523
"2025","North East","Age 20",38121
"2025","North East","Age 21",37204
"2025","North East","Age 22",35690
"2025","North East","Age 23",33124
"2025","North East","Age 24",31912
"2025","North East","Age 25",31507
"2025","North East","Age 26",31775
"2025","North East","Age 27",32576
"2025","North East","Age 28",33847
"2025","North East","Age 29",33321
"2025","North East","Age 30",34203
"2025","North East","Age 31",34926
"2025","North East","Age 32",35306
"2025","North East","Age 33",36837
"2025","North East","Age 34",36830
"2025","North East","Age 35",36257
"2025","North East","Age 36",36064
"2025","North East","Age 37",36979
"2025","North East","Age 38",36267
"2025","North East","Age 39",36497
"2025","North East","Age 40",35871
"2025","North East","Age 41",34499
"2025","North East","Age 42",34113
"2025","North East","Age 43",33612
"2025","North East","Age 44",33764
"2025","North East","Age 45",34062
"2025","North East","Age 46",32805
"2025","North East","Age 47",29321
"2025","North East","Age 48",27969
"2025","North East","Age 49",29866
"2025","North East","Age 50",30437
"2025","North East","Age 51",30750
"2025","North East","Age 52",32766
"2025","North East","Age 53",35387
"2025","North East","Age 54",37451
"2025","North East","Age 55",35541
"2025","North East","Age 56",36337
"2025","North East","Age 57",37188
"2025","North East","Age 58",37978
"2025","North East","Age 59",38501
"2025","North East","Age 60",39060
"2025","North East","Age 61",38514
"2025","North East","Age 62",38442
"2025","North East","Age 63",38083
"2025","North East","Age 64",36244
"2025","North West","Age 18",92039
"2025","North West","Age 19",97438
"2025","North West","Age 20",100265
"2025","North West","Age 21",98662
"2025","North West","Age 22",95944
"2025","North West","Age 23",96653
"2025","North West","Age 24",95194
"2025","North West","Age 25",96655
"2025","North West","Age 26",99994
"2025","North West","Age 27",100370
"2025","North West","Age 28",103641
"2025","North West","Age 29",100348
"2025","North West","Age 30",102556
"2025","North West","Age 31",104485
"2025","North West","Age 32",105957
"2025","North West","Age 33",108446
"2025","North West","Age 34",110374
"2025","North West","Age 35",108900
"2025","North West","Age 36",108122
"2025","North West","Age 37",109909
"2025","North West","Age 38",105572
"2025","North West","Age 39",106262
"2025","North West","Age 40",105705
"2025","North West","Age 41",101317
"2025","North West","Age 42",100807
"2025","North West","Age 43",98846
"2025","North West","Age 44",98380
"2025","North West","Age 45",98453
"2025","North West","Age 46",93380
"2025","North West","Age 47",85865
"2025","North West","Age 48",83729
"2025","North West","Age 49",86516
"2025","North West","Age 50",88428
"2025","North West","Age 51",89177
"2025","North West","Age 52",93318
"2025","North West","Age 53",98597
"2025","North West","Age 54",102625
"2025","North West","Age 55",100196
"2025","North West","Age 56",102986
"2025","North West","Age 57",101423
"2025","North West","Age 58",102239
"2025","North West","Age 59",101661
"2025","North West","Age 60",103196
"2025","North West","Age 61",102181
"2025","North West","Age 62",99460
"2025","North West","Age 63",98006
"2025","North West","Age 64",93347
"2025","Yorkshire and The Humber","Age 18",67718
"2025","Yorkshire and The Humber","Age 19",72924
"2025","Yorkshire and The Humber","Age 20",75409
"2025","Yorkshire and The Humber","Age 21",73666
"2025","Yorkshire and The Humber","Age 22",70502
"2025","Yorkshire and The Humber","Age 23",69233
"2025","Yorkshire and The Humber","Age 24",67402
"2025","Yorkshire and The Humber","Age 25",68006
"2025","Yorkshire and The Humber","Age 26",69244
"2025","Yorkshire and The Humber","Age 27",71173
"2025","Yorkshire and The Humber","Age 28",72254
"2025","Yorkshire and The Humber","Age 29",71133
"2025","Yorkshire and The Humber","Age 30",72809
"2025","Yorkshire and The Humber","Age 31",75143
"2025","Yorkshire and The Humber","Age 32",76178
"2025","Yorkshire and The Humber","Age 33",78055
"2025","Yorkshire and The Humber","Age 34",79345
"2025","Yorkshire and The Humber","Age 35",78404
"2025","Yorkshire and The Humber","Age 36",77130
"2025","Yorkshire and The Humber","Age 37",78570
"2025","Yorkshire and The Humber","Age 38",76942
"2025","Yorkshire and The Humber","Age 39",76252
"2025","Yorkshire and The Humber","Age 40",75142
"2025","Yorkshire and The Humber","Age 41",72399
"2025","Yorkshire and The Humber","Age 42",71918
"2025","Yorkshire and The Humber","Age 43",71086
"2025","Yorkshire and The Humber","Age 44",71483
"2025","Yorkshire and The Humber","Age 45",71047
"2025","Yorkshire and The Humber","Age 46",67542
"2025","Yorkshire and The Humber","Age 47",62040
"2025","Yorkshire and The Humber","Age 48",60777
"2025","Yorkshire and The Humber","Age 49",62774
"2025","Yorkshire and The Humber","Age 50",64063
"2025","Yorkshire and The Humber","Age 51",65510
"2025","Yorkshire and The Humber","Age 52",69477
"2025","Yorkshire and The Humber","Age 53",72686
"2025","Yorkshire and The Humber","Age 54",76636
"2025","Yorkshire and The Humber","Age 55",74596
"2025","Yorkshire and The Humber","Age 56",75800
"2025","Yorkshire and The Humber","Age 57",75835
"2025","Yorkshire and The Humber","Age 58",75844
"2025","Yorkshire and The Humber","Age 59",74898
"2025","Yorkshire and The Humber","Age 60",75358
"2025","Yorkshire and The Humber","Age 61",74609
"2025","Yorkshire and The Humber","Age 62",73219
"2025","Yorkshire and The Humber","Age 63",71438
"2025","Yorkshire and The Humber","Age 64",68673
"2025","East Midlands","Age 18",59485
"2025","East Midlands","Age 19",66623
"2025","East Midlands","Age 20",67056
"2025","East Midlands","Age 21",65051
"2025","East Midlands","Age 22",61627
"2025","East Midlands","Age 23",58787
