period,vacancies_uk
2001 MAY,680
2001 JUN,674
2001 JUL,663
2001 AUG,664
2001 SEP,639
2001 OCT,626
2001 NOV,602
2001 DEC,606
2002 JAN,616
2002 FEB,619
2002 MAR,619
2002 APR,613
2002 MAY,616
2002 JUN,611
2002 JUL,613
2002 AUG,609
2002 SEP,609
2002 OCT,608
2002 NOV,603
2002 DEC,602
2003 JAN,596
2003 FEB,593
2003 MAR,585
2003 APR,589
2003 MAY,579
2003 JUN,574
2003 JUL,577
2003 AUG,592
2003 SEP,604
2003 OCT,610
2003 NOV,614
2003 DEC,613
2004 JAN,617
2004 FEB,624
2004 MAR,630
2004 APR,637
2004 MAY,641
2004 JUN,652
2004 JUL,654
2004 AUG,654
2004 SEP,655
2004 OCT,657
2004 NOV,661
2004 DEC,661
2005 JAN,655
2005 FEB,643
2005 MAR,636
2005 APR,642
2005 MAY,642
2005 JUN,634
2005 JUL,624
2005 AUG,621
2005 SEP,609
2005 OCT,606
2005 NOV,609
2005 DEC,614
2006 JAN,613
2006 FEB,599
2006 MAR,598
2006 APR,597
2006 MAY,604
2006 JUN,608
2006 JUL,611
2006 AUG,611
2006 SEP,618
2006 OCT,619
2006 NOV,621
2006 DEC,618
2007 JAN,629
2007 FEB,642
2007 MAR,647
2007 APR,651
2007 MAY,659
2007 JUN,670
2007 JUL,681
2007 AUG,684
2007 SEP,686
2007 OCT,690
2007 NOV,687
2007 DEC,678
2008 JAN,687
2008 FEB,698
2008 MAR,693
2008 APR,679
2008 MAY,657
2008 JUN,642
2008 JUL,625
2008 AUG,615
2008 SEP,596
2008 OCT,562
2008 NOV,527
2008 DEC,498
2009 JAN,478
2009 FEB,464
2009 MAR,454
2009 APR,444
2009 MAY,431
2009 JUN,429
2009 JUL,439
2009 AUG,436
2009 SEP,432
2009 OCT,437
2009 NOV,454
2009 DEC,465
2010 JAN,467
2010 FEB,465
2010 MAR,467
2010 APR,479
2010 MAY,484
2010 JUN,479
2010 JUL,461
2010 AUG,455
2010 SEP,455
2010 OCT,473
2010 NOV,482
2010 DEC,495
2011 JAN,490
2011 FEB,482
2011 MAR,472
2011 APR,461
2011 MAY,460
2011 JUN,457
2011 JUL,462
2011 AUG,464
2011 SEP,467
2011 OCT,461
2011 NOV,465
2011 DEC,475
2012 JAN,473
2012 FEB,467
2012 MAR,465
2012 APR,470
2012 MAY,474
2012 JUN,480
2012 JUL,484
2012 AUG,488
2012 SEP,490
2012 OCT,493
2012 NOV,501
2012 DEC,502
2013 JAN,505
2013 FEB,506
2013 MAR,515
2013 APR,522
2013 MAY,533
2013 JUN,540
2013 JUL,536
2013 AUG,548
2013 SEP,551
2013 OCT,567
2013 NOV,573
2013 DEC,582
2014 JAN,596
2014 FEB,615
2014 MAR,639
2014 APR,653
2014 MAY,662
2014 JUN,670
2014 JUL,682
2014 AUG,686
2014 SEP,701
2014 OCT,703
2014 NOV,708
2014 DEC,710
2015 JAN,721
2015 FEB,729
2015 MAR,726
2015 APR,727
2015 MAY,730
2015 JUN,744
2015 JUL,744
2015 AUG,742
2015 SEP,740
2015 OCT,741
2015 NOV,745
2015 DEC,747
2016 JAN,746
2016 FEB,745
2016 MAR,742
2016 APR,746
2016 MAY,748
2016 JUN,753
2016 JUL,756
2016 AUG,756
2016 SEP,765
2016 OCT,757
2016 NOV,753
2016 DEC,744
2017 JAN,759
2017 FEB,766
2017 MAR,789
2017 APR,787
2017 MAY,792
2017 JUN,793
2017 JUL,801
2017 AUG,806
2017 SEP,811
2017 OCT,816
2017 NOV,815
2017 DEC,809
2018 JAN,806
2018 FEB,808
2018 MAR,808
2018 APR,822
2018 MAY,841
2018 JUN,849
2018 JUL,853
2018 AUG,853
2018 SEP,862
2018 OCT,856
2018 NOV,848
2018 DEC,845
2019 JAN,836
2019 FEB,837
2019 MAR,837
2019 APR,837
2019 MAY,835
2019 JUN,835
2019 JUL,830
2019 AUG,827
2019 SEP,809
2019 OCT,800
2019 NOV,799
2019 DEC,800
2020 JAN,808
2020 FEB,788
2020 MAR,635
2020 APR,476
2020 MAY,343
2020 JUN,384
2020 JUL,445
2020 AUG,499
2020 SEP,530
2020 OCT,549
2020 NOV,586
2020 DEC,603
2021 JAN,609
2021 FEB,621
2021 MAR,660
2021 APR,771
2021 MAY,883
2021 JUN,983
2021 JUL,1068
2021 AUG,1132
2021 SEP,1208
2021 OCT,1229
2021 NOV,1244
2021 DEC,1245
2022 JAN,1254
2022 FEB,1259
2022 MAR,1277
2022 APR,1293
2022 MAY,1294
2022 JUN,1272
2022 JUL,1257
2022 AUG,1235
2022 SEP,1216
2022 OCT,1170
2022 NOV,1138
2022 DEC,1108
2023 JAN,1101
2023 FEB,1089
2023 MAR,1065
2023 APR,1040
2023 MAY,1029
2023 JUN,1018
2023 JUL,999
2023 AUG,984
2023 SEP,958
2023 OCT,951
2023 NOV,923
2023 DEC,910
2024 JAN,895
2024 FEB,893
2024 MAR,885
2024 APR,885
2024 MAY,872
2024 JUN,867
2024 JUL,853
2024 AUG,840
2024 SEP,828
2024 OCT,810
2024 NOV,805
2024 DEC,798
2025 JAN,793
2025 FEB,775
2025 MAR,759
2025 APR,738
2025 MAY,730
2025 JUN,724
2025 JUL,737
2025 AUG,729
2025 SEP,728
2025 OCT,730
2025 NOV,739
2025 DEC,734
2026 JAN,725
2026 FEB,718
2026 MAR,713
2026 APR,710
2026 MAY,712
